model,corpus,timescale,variant,window,power,landmark_cycle,horizon_cycle,n_test_before_scoring,n_dropped_unscorable,n_evaluated,n_events,observed_rate,mean_pred,brier,log_loss,auc
cloglog hazard model,sixsource,cycle,fair,full,1.0,200,800,373,8,365,156,0.4273972602739726,0.4266198692880249,0.11276375863324338,0.3936764940333419,0.9270488283646178
cloglog cumulative-risk (artefact-affected),sixsource,cycle,fair,full,1.0,200,800,373,8,365,156,0.4273972602739726,0.2586918388285056,0.2609830112931284,0.7458130636371918,0.5930560667402772
wiener,sixsource,cycle,fair,full,1.0,200,1000,338,8,330,176,0.5333333333333333,0.7210040280077555,0.24847909421460473,1.4515110685694967,0.7646472845336482
gamma,sixsource,cycle,fair,full,1.0,200,1000,338,8,330,176,0.5333333333333333,0.3917042565322067,0.15812489261786422,1.674220053982396,0.8863820838252656
cloglog hazard model,sixsource,cycle,fair,full,1.0,200,1000,338,8,330,176,0.5333333333333333,0.5349493550895182,0.07824405877376596,0.34538188357672805,0.9572941263282172
cloglog cumulative-risk (artefact-affected),sixsource,cycle,fair,full,1.0,200,1000,338,8,330,176,0.5333333333333333,0.30721709505029765,0.30357160975924535,0.8517648493203391,0.5042429161747344
wiener,sixsource,cycle,fair,full,1.0,300,500,403,5,398,87,0.2185929648241206,0.3855548997819583,0.2522996422729791,1.606740258821519,0.7395498392282958
gamma,sixsource,cycle,fair,full,1.0,300,500,403,5,398,87,0.2185929648241206,0.17489915777079512,0.13560984601294757,1.435386315420703,0.824666444912592
cloglog hazard model,sixsource,cycle,fair,full,1.0,300,500,403,5,398,87,0.2185929648241206,0.2113299394735575,0.1022493510499075,0.3479071625381309,0.8893816757216247
cloglog cumulative-risk (artefact-affected),sixsource,cycle,fair,full,1.0,300,500,403,5,398,87,0.2185929648241206,0.1312553566370359,0.16652616141906545,0.5086115639143196,0.7310123073511475
wiener,sixsource,cycle,fair,full,1.0,300,800,362,4,358,145,0.40502793296089384,0.6060840464565512,0.24031751750728683,1.561139096452906,0.7833899951432733
gamma,sixsource,cycle,fair,full,1.0,300,800,362,4,358,145,0.40502793296089384,0.29541380556825503,0.15240668975773888,1.5885477412755733,0.9194754735308401
cloglog hazard model,sixsource,cycle,fair,full,1.0,300,800,362,4,358,145,0.40502793296089384,0.4036081257609352,0.0725371017609195,0.34054166623488097,0.9573255625708272
