model,corpus,timescale,variant,window,power,landmark_cycle,horizon_cycle,n_test_before_scoring,n_dropped_unscorable,n_evaluated,n_events,observed_rate,mean_pred,brier,log_loss,auc
gamma,matr,cycle,fair,full,1.0,200,1000,32,0,32,22,0.6875,0.38707349578497247,0.35346476316173453,1.0668215873246099,0.5590909090909091
cloglog hazard model,matr,cycle,fair,full,1.0,200,1000,32,0,32,22,0.6875,0.7450318871319905,0.09972326618271074,0.63642552814686,0.9136363636363636
random forest,matr,cycle,fair,full,1.0,200,1000,32,0,32,22,0.6875,0.6830087532651454,0.07184485971162244,0.22772359413051302,0.959090909090909
wiener,matr,cycle,fair,full,1.0,300,500,41,0,41,13,0.3170731707317073,0.022235986077100096,0.29462319176982477,2.3249549134885292,0.8379120879120879
gamma,matr,cycle,fair,full,1.0,300,500,41,0,41,13,0.3170731707317073,0.04628482292583932,0.2706177410617092,1.9499379928127738,0.8489010989010989
cloglog hazard model,matr,cycle,fair,full,1.0,300,500,41,0,41,13,0.3170731707317073,0.25336885741684917,0.04683041868269472,0.5845300311627237,0.9601648351648352
random forest,matr,cycle,fair,full,1.0,300,500,41,0,41,13,0.3170731707317073,0.2869243826782586,0.03932879241212013,0.1275847758745967,0.989010989010989
wiener,matr,cycle,fair,full,1.0,300,800,38,0,38,19,0.5,0.2174811898959801,0.260062916189473,0.7293633200586269,0.8614958448753463
gamma,matr,cycle,fair,full,1.0,300,800,38,0,38,19,0.5,0.1263430873203094,0.34739388841585245,1.2982719223934944,0.8642659279778393
cloglog hazard model,matr,cycle,fair,full,1.0,300,800,38,0,38,19,0.5,0.568528081971048,0.06910656228594474,0.28616110354983754,0.9806094182825486
random forest,matr,cycle,fair,full,1.0,300,800,38,0,38,19,0.5,0.5515091411186204,0.05719019862945204,0.19530521408221477,0.9833795013850415
wiener,matr,cycle,fair,full,1.0,300,1000,32,0,32,22,0.6875,0.48225802265226014,0.23359191826506345,0.6628356876923195,0.7
gamma,matr,cycle,fair,full,1.0,300,1000,32,0,32,22,0.6875,0.29266951197613583,0.3642497913275608,1.4271478160642075,0.7045454545454546
cloglog hazard model,matr,cycle,fair,full,1.0,300,1000,32,0,32,22,0.6875,0.7371884527055853,0.0842793904075986,0.790756673662075,0.9204545454545454
random forest,matr,cycle,fair,full,1.0,300,1000,32,0,32,22,0.6875,0.7069303133163606,0.07436985730997424,0.23218033956349043,0.9590909090909091
wiener,matr,normalised,fair,full,1.0,150,500,41,0,41,13,0.3170731707317073,0.0881372535780669,0.28072728482011317,0.9804549171402654,0.6126373626373627
gamma,matr,normalised,fair,full,1.0,150,500,41,0,41,13,0.3170731707317073,0.07804501059695938,0.2872302612213791,1.079146446723166,0.6126373626373627
cloglog hazard model,matr,normalised,fair,full,1.0,150,500,41,0,41,13,0.3170731707317073,0.21917134875815242,0.06734277587430297,0.21771544670542847,0.9697802197802198
random forest,matr,normalised,fair,full,1.0,150,500,41,0,41,13,0.3170731707317073,0.2989061543964117,0.04974735215213478,0.19021822721564988,0.9697802197802198
wiener,matr,normalised,fair,full,1.0,150,800,38,0,38,19,0.5,0.4657030015013061,0.238518459573725,0.6715899390730813,0.6426592797783934
gamma,matr,normalised,fair,full,1.0,150,800,38,0,38,19,0.5,0.2945850031605013,0.29674787864306035,0.8090830710547522,0.6426592797783934
cloglog hazard model,matr,normalised,fair,full,1.0,150,800,38,0,38,19,0.5,0.5400543737589352,0.0757918560564281,0.22134380352728233,0.9833795013850417
random forest,matr,normalised,fair,full,1.0,150,800,38,0,38,19,0.5,0.5184117927534512,0.0704674346984498,0.23552967192478425,0.9806094182825484
wiener,matr,normalised,fair,full,1.0,150,1000,32,0,32,22,0.6875,0.6772961837865094,0.23920792377320593,0.701834433509942,0.4545454545454545
gamma,matr,normalised,fair,full,1.0,150,1000,32,0,32,22,0.6875,0.5171578341029766,0.31603239224937585,0.9274711331260266,0.4545454545454545
cloglog hazard model,matr,normalised,fair,full,1.0,150,1000,32,0,32,22,0.6875,0.7319681495168688,0.09818975229467292,0.34515310691578704,0.9181818181818182
random forest,matr,normalised,fair,full,1.0,150,1000,32,0,32,22,0.6875,0.6705144162359845,0.07665560413798281,0.2506701181752247,0.9545454545454546
wiener,matr,normalised,fair,full,1.0,200,500,41,0,41,13,0.3170731707317073,0.04669833649080541,0.2904887614505671,1.3170100508744835,0.728021978021978
gamma,matr,normalised,fair,full,1.0,200,500,41,0,41,13,0.3170731707317073,0.043226744185027796,0.29237973233885195,1.4245124774030329,0.728021978021978
cloglog hazard model,matr,normalised,fair,full,1.0,200,500,41,0,41,13,0.3170731707317073,0.228410400840819,0.05833879629440678,0.19550913885835822,0.989010989010989
random forest,matr,normalised,fair,full,1.0,200,500,41,0,41,13,0.3170731707317073,0.2865328429221324,0.04217170260672581,0.1533676728881329,0.978021978021978
wiener,matr,normalised,fair,full,1.0,200,800,38,0,38,19,0.5,0.3522697196377536,0.24048092201897822,0.6650576053350793,0.7423822714681441
gamma,matr,normalised,fair,full,1.0,200,800,38,0,38,19,0.5,0.1843945142649344,0.33508147076572214,0.9736825232937848,0.7423822714681441
cloglog hazard model,matr,normalised,fair,full,1.0,200,800,38,0,38,19,0.5,0.5343260296514051,0.0863065140346052,0.24838648659566692,0.9695290858725762
random forest,matr,normalised,fair,full,1.0,200,800,38,0,38,19,0.5,0.5065512125918189,0.0602475817584634,0.20617653453942536,0.9861495844875346
wiener,matr,normalised,fair,full,1.0,200,1000,32,0,32,22,0.6875,0.5918316220729802,0.23712478016339375,0.6761499438123852,0.5590909090909091
gamma,matr,normalised,fair,full,1.0,200,1000,32,0,32,22,0.6875,0.38707349473408936,0.35346476352542433,1.0668215857936896,0.5590909090909091
cloglog hazard model,matr,normalised,fair,full,1.0,200,1000,32,0,32,22,0.6875,0.7450318871319905,0.09972326618271074,0.63642552814686,0.9136363636363636
random forest,matr,normalised,fair,full,1.0,200,1000,32,0,32,22,0.6875,0.6830087532651454,0.07184485971162242,0.22772359413051302,0.959090909090909
wiener,matr,normalised,fair,full,1.0,300,500,41,0,41,13,0.3170731707317073,0.02223598579066116,0.294623191845226,2.3249549308120523,0.8379120879120879
gamma,matr,normalised,fair,full,1.0,300,500,41,0,41,13,0.3170731707317073,0.04628482391515438,0.2706177408216891,1.9499379406288897,0.8489010989010989
cloglog hazard model,matr,normalised,fair,full,1.0,300,500,41,0,41,13,0.3170731707317073,0.25336885741684917,0.04683041868269472,0.5845300311627237,0.9601648351648352
random forest,matr,normalised,fair,full,1.0,300,500,41,0,41,13,0.3170731707317073,0.2869243826782586,0.03932879241212013,0.1275847758745967,0.989010989010989
wiener,matr,normalised,fair,full,1.0,300,800,38,0,38,19,0.5,0.2174811800119804,0.26006292462574215,0.7293633415147663,0.8614958448753463
gamma,matr,normalised,fair,full,1.0,300,800,38,0,38,19,0.5,0.12634309134888919,0.3473938836865744,1.298271879501703,0.8642659279778393
cloglog hazard model,matr,normalised,fair,full,1.0,300,800,38,0,38,19,0.5,0.568528081971048,0.06910656228594474,0.28616110354983754,0.9806094182825486
random forest,matr,normalised,fair,full,1.0,300,800,38,0,38,19,0.5,0.5515091411186204,0.05719019862945202,0.19530521408221477,0.9833795013850415
wiener,matr,normalised,fair,full,1.0,300,1000,32,0,32,22,0.6875,0.4822580311889107,0.23359191474422902,0.6628356790947249,0.7
gamma,matr,normalised,fair,full,1.0,300,1000,32,0,32,22,0.6875,0.29266950706445916,0.36424979510663247,1.4271478182513893,0.7045454545454546
cloglog hazard model,matr,normalised,fair,full,1.0,300,1000,32,0,32,22,0.6875,0.7371884527055853,0.0842793904075986,0.790756673662075,0.9204545454545454
random forest,matr,normalised,fair,full,1.0,300,1000,32,0,32,22,0.6875,0.7069303133163606,0.07436985730997422,0.23218033956349043,0.9590909090909091
wiener,matr,cycle,published,full,1.0,150,500,42,1,41,13,0.3170731707317073,0.08813724869303388,0.28072728331976343,0.9804549196315641,0.6126373626373627
gamma,matr,cycle,published,full,1.0,150,500,42,1,41,13,0.3170731707317073,0.07804501319811198,0.2872302590138162,1.0791464103593744,0.6126373626373627
cloglog hazard model,matr,cycle,published,full,1.0,150,500,42,1,41,13,0.3170731707317073,0.21917134875815242,0.06734277587430297,0.21771544670542847,0.9697802197802198
random forest,matr,cycle,published,full,1.0,150,500,42,1,41,13,0.3170731707317073,0.29890615439641177,0.049747352152134765,0.19021822721564988,0.9697802197802198
wiener,matr,cycle,published,full,1.0,150,800,39,1,38,19,0.5,0.4657030008952069,0.23851845976248198,0.67158993986902,0.6426592797783934
gamma,matr,cycle,published,full,1.0,150,800,39,1,38,19,0.5,0.2945850003172528,0.2967478794533855,0.8090830718348029,0.6426592797783934
cloglog hazard model,matr,cycle,published,full,1.0,150,800,39,1,38,19,0.5,0.5400543737589352,0.0757918560564281,0.22134380352728233,0.9833795013850417
random forest,matr,cycle,published,full,1.0,150,800,39,1,38,19,0.5,0.5184117927534512,0.0704674346984498,0.23552967192478425,0.9806094182825484
wiener,matr,cycle,published,full,1.0,150,1000,33,1,32,22,0.6875,0.677296163262939,0.23920792603176394,0.7018344347413483,0.4545454545454545
gamma,matr,cycle,published,full,1.0,150,1000,33,1,32,22,0.6875,0.5171578359691753,0.31603239197826244,0.9274711341980981,0.4545454545454545
cloglog hazard model,matr,cycle,published,full,1.0,150,1000,33,1,32,22,0.6875,0.7319681495168688,0.09818975229467292,0.34515310691578704,0.9181818181818182
random forest,matr,cycle,published,full,1.0,150,1000,33,1,32,22,0.6875,0.6705144162359845,0.07665560413798281,0.25067011817522467,0.9545454545454546
wiener,matr,cycle,published,full,1.0,200,500,42,1,41,13,0.3170731707317073,0.04669833406892464,0.29048876091978276,1.3170100470982382,0.728021978021978
gamma,matr,cycle,published,full,1.0,200,500,42,1,41,13,0.3170731707317073,0.04322674515900682,0.29237973147078455,1.4245124234996849,0.728021978021978
cloglog hazard model,matr,cycle,published,full,1.0,200,500,42,1,41,13,0.3170731707317073,0.228410400840819,0.05833879629440678,0.19550913885835822,0.989010989010989
random forest,matr,cycle,published,full,1.0,200,500,42,1,41,13,0.3170731707317073,0.2865328429221324,0.04217170260672579,0.1533676728881329,0.978021978021978
wiener,matr,cycle,published,full,1.0,200,800,39,1,38,19,0.5,0.35226971731030016,0.240480922787735,0.665057607033685,0.7423822714681441
gamma,matr,cycle,published,full,1.0,200,800,39,1,38,19,0.5,0.1843945133268432,0.3350814712449054,0.9736825216754726,0.7423822714681441
cloglog hazard model,matr,cycle,published,full,1.0,200,800,39,1,38,19,0.5,0.5343260296514051,0.0863065140346052,0.24838648659566692,0.9695290858725762
random forest,matr,cycle,published,full,1.0,200,800,39,1,38,19,0.5,0.5065512125918189,0.0602475817584634,0.2061765345394254,0.9861495844875346
wiener,matr,cycle,published,full,1.0,200,1000,33,1,32,22,0.6875,0.5918316017641158,0.23712478518525693,0.6761499532006224,0.5590909090909091
gamma,matr,cycle,published,full,1.0,200,1000,33,1,32,22,0.6875,0.38707349578497247,0.35346476316173453,1.0668215873246099,0.5590909090909091
cloglog hazard model,matr,cycle,published,full,1.0,200,1000,33,1,32,22,0.6875,0.7450318871319905,0.09972326618271074,0.63642552814686,0.9136363636363636
random forest,matr,cycle,published,full,1.0,200,1000,33,1,32,22,0.6875,0.6830087532651454,0.07184485971162244,0.22772359413051302,0.959090909090909
wiener,matr,cycle,published,full,1.0,300,500,42,1,41,13,0.3170731707317073,0.023327920394586574,0.2943527831535547,2.2746965483438775,0.8379120879120879
gamma,matr,cycle,published,full,1.0,300,500,42,1,41,13,0.3170731707317073,0.04640465694434258,0.27057924125305655,1.9482140125969796,0.8489010989010989
cloglog hazard model,matr,cycle,published,full,1.0,300,500,42,1,41,13,0.3170731707317073,0.27129592996526014,0.0375052001810291,0.12004359776380549,0.9945054945054945
random forest,matr,cycle,published,full,1.0,300,500,42,1,41,13,0.3170731707317073,0.29536191991671196,0.041188301515702,0.1336826709134031,0.989010989010989
wiener,matr,cycle,published,full,1.0,300,800,39,1,38,19,0.5,0.2171844544496687,0.25994260654251844,0.7301312185563101,0.8614958448753463
gamma,matr,cycle,published,full,1.0,300,800,39,1,38,19,0.5,0.12681167185412776,0.34686680282808985,1.2958391404294172,0.8642659279778393
cloglog hazard model,matr,cycle,published,full,1.0,300,800,39,1,38,19,0.5,0.5685280676055244,0.06910652195123242,0.2861617757795339,0.9806094182825486
random forest,matr,cycle,published,full,1.0,300,800,39,1,38,19,0.5,0.5554772325455313,0.05847653562742488,0.1997136295135231,0.9833795013850416
wiener,matr,cycle,published,full,1.0,300,1000,33,1,32,22,0.6875,0.4741704934448445,0.23721885137549698,0.6723288717025555,0.7
gamma,matr,cycle,published,full,1.0,300,1000,33,1,32,22,0.6875,0.2937483385871516,0.3634371199816303,1.4250144364560766,0.7045454545454546
cloglog hazard model,matr,cycle,published,full,1.0,300,1000,33,1,32,22,0.6875,0.737188452705472,0.08427939040751997,0.7907566736619382,0.9204545454545454
random forest,matr,cycle,published,full,1.0,300,1000,33,1,32,22,0.6875,0.7111362337892433,0.07281949989162188,0.22622234635597013,0.9636363636363637
wiener,matr,normalised,published,full,1.0,150,500,42,1,41,13,0.3170731707317073,0.0881372535780669,0.28072728482011317,0.9804549171402654,0.6126373626373627
gamma,matr,normalised,published,full,1.0,150,500,42,1,41,13,0.3170731707317073,0.07804501059695938,0.2872302612213791,1.079146446723166,0.6126373626373627
cloglog hazard model,matr,normalised,published,full,1.0,150,500,42,1,41,13,0.3170731707317073,0.21917134875815242,0.06734277587430297,0.21771544670542847,0.9697802197802198
random forest,matr,normalised,published,full,1.0,150,500,42,1,41,13,0.3170731707317073,0.29890615439641177,0.049747352152134765,0.19021822721564988,0.9697802197802198
wiener,matr,normalised,published,full,1.0,150,800,39,1,38,19,0.5,0.4657030015013061,0.238518459573725,0.6715899390730813,0.6426592797783934
gamma,matr,normalised,published,full,1.0,150,800,39,1,38,19,0.5,0.2945850031605013,0.29674787864306035,0.8090830710547522,0.6426592797783934
cloglog hazard model,matr,normalised,published,full,1.0,150,800,39,1,38,19,0.5,0.5400543737589352,0.0757918560564281,0.22134380352728233,0.9833795013850417
random forest,matr,normalised,published,full,1.0,150,800,39,1,38,19,0.5,0.5184117927534511,0.0704674346984498,0.23552967192478425,0.9806094182825484
wiener,matr,normalised,published,full,1.0,150,1000,33,1,32,22,0.6875,0.6772961837865094,0.23920792377320593,0.701834433509942,0.4545454545454545
gamma,matr,normalised,published,full,1.0,150,1000,33,1,32,22,0.6875,0.5171578341029766,0.31603239224937585,0.9274711331260266,0.4545454545454545
cloglog hazard model,matr,normalised,published,full,1.0,150,1000,33,1,32,22,0.6875,0.7319681495168688,0.09818975229467292,0.34515310691578704,0.9181818181818182
random forest,matr,normalised,published,full,1.0,150,1000,33,1,32,22,0.6875,0.6705144162359845,0.07665560413798281,0.2506701181752247,0.9545454545454546
wiener,matr,normalised,published,full,1.0,200,500,42,1,41,13,0.3170731707317073,0.04669833649080541,0.2904887614505671,1.3170100508744835,0.728021978021978
