link,term,beta,beta_low,beta_high,exp_beta,exp_beta_low,exp_beta_high,boot_sd,alpha,n_bootstrap,converged,seed
cloglog,Intercept,-4.208880842883418,-4.31042008945708,-4.102715847522189,0.014862993057969362,0.013427907486867495,0.016527727605642948,0.054077661888814715,0.03162277660168379,1000,True,20260823
cloglog,log_interval_mid,-0.07671033560872671,-0.11466627398713879,-0.03759599652938701,0.9261580897746841,0.8916636656186429,0.9631019588375326,0.020199596174071494,0.03162277660168379,1000,True,20260823
cloglog,lag_soh,-0.6940949086150466,-0.7516510788040095,-0.6456447970237075,0.49952636044864623,0.47158728183392795,0.5243243503052425,0.025988905288532583,0.03162277660168379,1000,True,20260823
cloglog,delta_soh_10,0.10927973809420964,-0.11340129012615174,0.1427215575869893,1.115474347368759,0.8927923194790335,1.1534085990763594,0.0515792684879972,0.03162277660168379,1000,True,20260823
cloglog,dataset_CALB,-0.04065796313333124,-0.06038672643670265,-0.01994871436565557,0.9601574830471752,0.9414003987567832,0.9802489447065887,0.01032712512095387,0.03162277660168379,1000,True,20260823
cloglog,dataset_HUST,-0.010104908016486894,-0.026638408808206178,0.0042496348876635065,0.9899459750327875,0.9737132640159861,1.0042586773905773,0.007594132648245721,0.03162277660168379,1000,True,20260823
cloglog,dataset_MATR,-0.005665118652307851,-0.02746055679877284,0.016913756345036512,0.9943508978729194,0.9729130566021195,1.0170576037776529,0.01103491960701051,0.03162277660168379,1000,True,20260823
cloglog,dataset_SDU,0.07437009958504039,0.058193756199433996,0.09127943341629419,1.0772054050043092,1.059920341953251,1.0955751027833127,0.008736244622096653,0.03162277660168379,1000,True,20260823
cloglog,dataset_Tongji,0.03897494346705634,0.023400164538227262,0.05453303884219385,1.0397444309331771,1.0236760964691118,1.0560473664196472,0.00819122356573448,0.03162277660168379,1000,True,20260823
cloglog,chemistry_NCA,0.06310504138064896,0.048386435168460265,0.07827471831836062,1.065138716996721,1.0495761701109454,1.0814197036687976,0.007617634341600278,0.03162277660168379,1000,True,20260823
cloglog,chemistry_NMC,0.006739560801144453,-0.01600667493521657,0.030270809896451013,1.0067623227474825,0.9841207510911026,1.0307336290283027,0.012043742871692534,0.03162277660168379,1000,True,20260823
cloglog,chemistry_NMC/NCA,0.010423889209740711,0.00358002547861579,0.017843629983587697,1.0104784072080635,1.0035864414239608,1.0180037786756642,0.0035109372001677305,0.03162277660168379,1000,True,20260823
logit,Intercept,-4.2174108212709855,-4.31551105566637,-4.11883748870813,0.014736751233876794,0.013359720180499482,0.016263409854356738,0.051166071272130284,0.03162277660168379,1000,True,20260823
logit,log_interval_mid,-0.07661786169199233,-0.11384790048963606,-0.039257760096511135,0.9262437392008687,0.8923936782020039,0.9615028401374996,0.018830421324095393,0.03162277660168379,1000,True,20260823
logit,lag_soh,-0.7038044630133318,-0.7610874315839941,-0.6532810881835596,0.4946996525896969,0.4671581481757209,0.5203357055130438,0.02660638254626793,0.03162277660168379,1000,True,20260823
logit,delta_soh_10,0.027565722870345945,-0.1235768980772731,0.0997856325652167,1.027949172657387,0.883753679672305,1.1049340308123072,0.05955320558116844,0.03162277660168379,1000,True,20260823
