model,corpus,timescale,variant,window,power,fold,landmark_cycle,horizon_cycle,mu0,s2mu,sig2,nll,converged,n_paths,alpha,a0,b0,time_scale,mean_rate
gamma,sixsource,normalised,fair,full,1.0,3,300,800,,,,-52427.35415132642,True,385,71.27649183442321,2.3376223658493065,0.005003369047697141,0.03172588832487311,0.15255782896448405
wiener,sixsource,normalised,fair,full,1.0,4,300,800,0.14906422831346527,0.00027331026816124687,0.016199764542570105,-32129.496471151204,True,385,,,,,
gamma,sixsource,normalised,fair,full,1.0,4,300,800,,,,-51608.448518464764,False,385,73.12905207521707,2.402954360018493,0.0051899589447405095,0.03172588832487308,0.1579458953749111
wiener,sixsource,normalised,fair,full,1.0,0,300,1000,0.14999229770327646,0.0005737323105473977,0.015968238795699786,-32233.817762845127,False,384,,,,,
gamma,sixsource,normalised,fair,full,1.0,0,300,1000,,,,-51788.68288664323,True,384,72.00793790800626,2.6124970115895048,0.005802798690591072,0.03172588832487308,0.15994183570396261
wiener,sixsource,normalised,fair,full,1.0,1,300,1000,0.14358274163127865,5.09706034994135e-06,0.017478041069671456,-31490.855744799446,False,385,,,,,
gamma,sixsource,normalised,fair,full,1.0,1,300,1000,,,,-51713.352508785276,True,385,69.15998426789513,2.6003394204648687,0.005872764598466016,0.03172588832487311,0.15619511208515652
wiener,sixsource,normalised,fair,full,1.0,2,300,1000,0.1442550865084225,2.0546551212688634e-12,0.018600279556854084,-31152.66179932675,True,385,,,,,
gamma,sixsource,normalised,fair,full,1.0,2,300,1000,,,,-52338.56371114864,True,385,71.04741417348278,2.381554320025254,0.005267637370612101,0.03172588832487311,0.15714611707098297
wiener,sixsource,normalised,fair,full,1.0,3,300,1000,0.15194933566755459,0.0010912085518542734,0.013237554816080074,-33347.38912197932,True,385,,,,,
gamma,sixsource,normalised,fair,full,1.0,3,300,1000,,,,-52427.35415132642,True,385,71.27649183442321,2.3376223658493065,0.005003369047697141,0.03172588832487311,0.15255782896448405
wiener,sixsource,normalised,fair,full,1.0,4,300,1000,0.14906422831346527,0.00027331026816124687,0.016199764542570105,-32129.496471151204,True,385,,,,,
gamma,sixsource,normalised,fair,full,1.0,4,300,1000,,,,-51608.448518464764,False,385,73.12905207521707,2.402954360018493,0.0051899589447405095,0.03172588832487308,0.1579458953749111
wiener,sixsource,cycle,fair,truncH,1.0,0,150,500,0.00023194495820944277,9.377781903767568e-17,6.948595524741104e-05,-9607.797319785568,False,384,,,,,
gamma,sixsource,cycle,fair,truncH,1.0,0,150,500,,,,-23442.861213085926,True,384,0.14582439303113431,1.1133682502014026,0.0008833065937747324,25.0,0.00011569186374256536
wiener,sixsource,cycle,fair,truncH,1.0,1,150,500,0.00023104850997764356,1.1794875485891188e-21,7.789061041653526e-05,-9295.062118316358,False,385,,,,,
gamma,sixsource,cycle,fair,truncH,1.0,1,150,500,,,,-23576.469673440995,False,385,0.14624779374174005,1.1112420439586652,0.0008702864799185662,25.0,0.0001145362329506044
wiener,sixsource,cycle,fair,truncH,1.0,2,150,500,0.00022653838848062845,1.5953421411816506e-21,8.451839649284799e-05,-9055.978842450244,True,385,,,,,
gamma,sixsource,cycle,fair,truncH,1.0,2,150,500,,,,-23491.66096303964,True,385,0.14683649560274004,1.081182253673141,0.0008303102816812952,25.0,0.00011276531002132383
wiener,sixsource,cycle,fair,truncH,1.0,3,150,500,0.00023029915953912228,1.2099444005762166e-17,6.29584416666865e-05,-9887.772040521617,False,385,,,,,
gamma,sixsource,cycle,fair,truncH,1.0,3,150,500,,,,-23733.997919419286,False,385,0.14496044746059328,1.106633390358382,0.0008633736619683309,25.0,0.00011309529737222996
wiener,sixsource,cycle,fair,truncH,1.0,4,150,500,0.00023181567245216474,7.518904463083605e-17,7.960221267389729e-05,-9228.972770224611,False,385,,,,,
gamma,sixsource,cycle,fair,truncH,1.0,4,150,500,,,,-23430.829399471244,False,385,0.14658589211369302,1.108060177583365,0.0008804477774784357,25.0,0.0001164749221496906
wiener,sixsource,cycle,fair,truncH,1.0,0,150,800,0.00021385118640854716,6.419925699614654e-18,4.885384054141054e-05,-15325.65107632473,False,384,,,,,
gamma,sixsource,cycle,fair,truncH,1.0,0,150,800,,,,-33370.04736976407,True,384,0.10821626833053473,1.2982612772492066,0.001751136430864888,25.0,0.00014596557195895938
wiener,sixsource,cycle,fair,truncH,1.0,1,150,800,0.00021333258649517062,1.6217603598360806e-16,5.4700644438432944e-05,-14875.131853999323,True,385,,,,,
gamma,sixsource,cycle,fair,truncH,1.0,1,150,800,,,,-33496.50824318982,True,385,0.10825768221320574,1.2795182137329921,0.0017016191552626913,25.0,0.00014397086636296479
wiener,sixsource,cycle,fair,truncH,1.0,2,150,800,0.0002112981731215518,3.076273775689649e-17,5.94951870922117e-05,-14536.361196227677,False,385,,,,,
gamma,sixsource,cycle,fair,truncH,1.0,2,150,800,,,,-33431.12794904542,True,385,0.10712130359660028,1.2294063565556226,0.0016331405141020335,25.0,0.0001422996878893368
wiener,sixsource,cycle,fair,truncH,1.0,3,150,800,0.00021387076966302684,1.1090930369709777e-16,4.430124072963385e-05,-15723.17793138289,True,385,,,,,
gamma,sixsource,cycle,fair,truncH,1.0,3,150,800,,,,-33729.236620206895,True,385,0.10809425226782426,1.2488470651297798,0.0016294428722862476,25.0,0.0001410368121212777
wiener,sixsource,cycle,fair,truncH,1.0,4,150,800,0.00021419611980748722,2.102721051938856e-17,5.59224686960528e-05,-14784.674973118023,False,385,,,,,
gamma,sixsource,cycle,fair,truncH,1.0,4,150,800,,,,-33337.253328672654,False,385,0.10975092496141275,1.2775504606674235,0.0017024646843303843,25.0,0.00014625416339467782
wiener,sixsource,cycle,fair,truncH,1.0,0,150,1000,0.00020601345389080922,4.119140895147897e-18,4.8702926694141774e-05,-17579.120475969656,True,384,,,,,
gamma,sixsource,cycle,fair,truncH,1.0,0,150,1000,,,,-37530.29144103564,True,384,0.08887176610884037,1.4781762016248847,0.0028075257066599315,25.0,0.00016879568732913213
wiener,sixsource,cycle,fair,truncH,1.0,1,150,1000,0.00020542436629472657,6.022771184101627e-18,5.382052563002948e-05,-17123.881514573743,False,385,,,,,
gamma,sixsource,cycle,fair,truncH,1.0,1,150,1000,,,,-37763.87755575487,True,385,0.09028095411864807,1.4361303109230268,0.0026271797924788936,25.0,0.000165155137038911
wiener,sixsource,cycle,fair,truncH,1.0,2,150,1000,0.00020335352946909262,4.0955599323623216e-17,5.7982718176472185e-05,-16778.568347661643,False,385,,,,,
gamma,sixsource,cycle,fair,truncH,1.0,2,150,1000,,,,-37710.27408640635,True,385,0.08992651866287797,1.3767263077510665,0.0025083792965981564,25.0,0.00016384506953861258
wiener,sixsource,cycle,fair,truncH,1.0,3,150,1000,0.00020842235441560607,2.0143064328512232e-17,4.180916567706342e-05,-18284.928815214596,True,385,,,,,
gamma,sixsource,cycle,fair,truncH,1.0,3,150,1000,,,,-38068.435667657825,True,385,0.09039723690579528,1.3946114684490798,0.002489345220234618,25.0,0.00016135671812889167
wiener,sixsource,cycle,fair,truncH,1.0,4,150,1000,0.0002092443198812943,2.714415174734591e-18,5.198870062883239e-05,-17280.87081459999,False,385,,,,,
gamma,sixsource,cycle,fair,truncH,1.0,4,150,1000,,,,-37661.86338430199,True,385,0.09218999703000533,1.422726354913631,0.002575825434110984,25.0,0.00016690865274293702
wiener,sixsource,cycle,fair,truncH,1.0,0,200,500,0.00023194495820944277,9.377781903767568e-17,6.948595524741104e-05,-9607.797319785568,False,384,,,,,
gamma,sixsource,cycle,fair,truncH,1.0,0,200,500,,,,-23442.861213085926,True,384,0.14582439303113431,1.1133682502014026,0.0008833065937747324,25.0,0.00011569186374256536
wiener,sixsource,cycle,fair,truncH,1.0,1,200,500,0.00023104850997764356,1.1794875485891188e-21,7.789061041653526e-05,-9295.062118316358,False,385,,,,,
gamma,sixsource,cycle,fair,truncH,1.0,1,200,500,,,,-23576.469673440995,False,385,0.14624779374174005,1.1112420439586652,0.0008702864799185662,25.0,0.0001145362329506044
wiener,sixsource,cycle,fair,truncH,1.0,2,200,500,0.00022653838848062845,1.5953421411816506e-21,8.451839649284799e-05,-9055.978842450244,True,385,,,,,
gamma,sixsource,cycle,fair,truncH,1.0,2,200,500,,,,-23491.66096303964,True,385,0.14683649560274004,1.081182253673141,0.0008303102816812952,25.0,0.00011276531002132383
wiener,sixsource,cycle,fair,truncH,1.0,3,200,500,0.00023029915953912228,1.2099444005762166e-17,6.29584416666865e-05,-9887.772040521617,False,385,,,,,
gamma,sixsource,cycle,fair,truncH,1.0,3,200,500,,,,-23733.997919419286,False,385,0.14496044746059328,1.106633390358382,0.0008633736619683309,25.0,0.00011309529737222996
wiener,sixsource,cycle,fair,truncH,1.0,4,200,500,0.00023181567245216474,7.518904463083605e-17,7.960221267389729e-05,-9228.972770224611,False,385,,,,,
gamma,sixsource,cycle,fair,truncH,1.0,4,200,500,,,,-23430.829399471244,False,385,0.14658589211369302,1.108060177583365,0.0008804477774784357,25.0,0.0001164749221496906
wiener,sixsource,cycle,fair,truncH,1.0,0,200,800,0.00021385118640854716,6.419925699614654e-18,4.885384054141054e-05,-15325.65107632473,False,384,,,,,
gamma,sixsource,cycle,fair,truncH,1.0,0,200,800,,,,-33370.04736976407,True,384,0.10821626833053473,1.2982612772492066,0.001751136430864888,25.0,0.00014596557195895938
wiener,sixsource,cycle,fair,truncH,1.0,1,200,800,0.00021333258649517062,1.6217603598360806e-16,5.4700644438432944e-05,-14875.131853999323,True,385,,,,,
gamma,sixsource,cycle,fair,truncH,1.0,1,200,800,,,,-33496.50824318982,True,385,0.10825768221320574,1.2795182137329921,0.0017016191552626913,25.0,0.00014397086636296479
wiener,sixsource,cycle,fair,truncH,1.0,2,200,800,0.0002112981731215518,3.076273775689649e-17,5.94951870922117e-05,-14536.361196227677,False,385,,,,,
gamma,sixsource,cycle,fair,truncH,1.0,2,200,800,,,,-33431.12794904542,True,385,0.10712130359660028,1.2294063565556226,0.0016331405141020335,25.0,0.0001422996878893368
wiener,sixsource,cycle,fair,truncH,1.0,3,200,800,0.00021387076966302684,1.1090930369709777e-16,4.430124072963385e-05,-15723.17793138289,True,385,,,,,
gamma,sixsource,cycle,fair,truncH,1.0,3,200,800,,,,-33729.236620206895,True,385,0.10809425226782426,1.2488470651297798,0.0016294428722862476,25.0,0.0001410368121212777
wiener,sixsource,cycle,fair,truncH,1.0,4,200,800,0.00021419611980748722,2.102721051938856e-17,5.59224686960528e-05,-14784.674973118023,False,385,,,,,
gamma,sixsource,cycle,fair,truncH,1.0,4,200,800,,,,-33337.253328672654,False,385,0.10975092496141275,1.2775504606674235,0.0017024646843303843,25.0,0.00014625416339467782
wiener,sixsource,cycle,fair,truncH,1.0,0,200,1000,0.00020601345389080922,4.119140895147897e-18,4.8702926694141774e-05,-17579.120475969656,True,384,,,,,
gamma,sixsource,cycle,fair,truncH,1.0,0,200,1000,,,,-37530.29144103564,True,384,0.08887176610884037,1.4781762016248847,0.0028075257066599315,25.0,0.00016879568732913213
wiener,sixsource,cycle,fair,truncH,1.0,1,200,1000,0.00020542436629472657,6.022771184101627e-18,5.382052563002948e-05,-17123.881514573743,False,385,,,,,
gamma,sixsource,cycle,fair,truncH,1.0,1,200,1000,,,,-37763.87755575487,True,385,0.09028095411864807,1.4361303109230268,0.0026271797924788936,25.0,0.000165155137038911
wiener,sixsource,cycle,fair,truncH,1.0,2,200,1000,0.00020335352946909262,4.0955599323623216e-17,5.7982718176472185e-05,-16778.568347661643,False,385,,,,,
gamma,sixsource,cycle,fair,truncH,1.0,2,200,1000,,,,-37710.27408640635,True,385,0.08992651866287797,1.3767263077510665,0.0025083792965981564,25.0,0.00016384506953861258
wiener,sixsource,cycle,fair,truncH,1.0,3,200,1000,0.00020842235441560607,2.0143064328512232e-17,4.180916567706342e-05,-18284.928815214596,True,385,,,,,
gamma,sixsource,cycle,fair,truncH,1.0,3,200,1000,,,,-38068.435667657825,True,385,0.09039723690579528,1.3946114684490798,0.002489345220234618,25.0,0.00016135671812889167
wiener,sixsource,cycle,fair,truncH,1.0,4,200,1000,0.0002092443198812943,2.714415174734591e-18,5.198870062883239e-05,-17280.87081459999,False,385,,,,,
gamma,sixsource,cycle,fair,truncH,1.0,4,200,1000,,,,-37661.86338430199,True,385,0.09218999703000533,1.422726354913631,0.002575825434110984,25.0,0.00016690865274293702
wiener,sixsource,cycle,fair,truncH,1.0,0,300,500,0.00023194495820944277,9.377781903767568e-17,6.948595524741104e-05,-9607.797319785568,False,384,,,,,
gamma,sixsource,cycle,fair,truncH,1.0,0,300,500,,,,-23442.861213085926,True,384,0.14582439303113431,1.1133682502014026,0.0008833065937747324,25.0,0.00011569186374256536
wiener,sixsource,cycle,fair,truncH,1.0,1,300,500,0.00023104850997764356,1.1794875485891188e-21,7.789061041653526e-05,-9295.062118316358,False,385,,,,,
gamma,sixsource,cycle,fair,truncH,1.0,1,300,500,,,,-23576.469673440995,False,385,0.14624779374174005,1.1112420439586652,0.0008702864799185662,25.0,0.0001145362329506044
wiener,sixsource,cycle,fair,truncH,1.0,2,300,500,0.00022653838848062845,1.5953421411816506e-21,8.451839649284799e-05,-9055.978842450244,True,385,,,,,
gamma,sixsource,cycle,fair,truncH,1.0,2,300,500,,,,-23491.66096303964,True,385,0.14683649560274004,1.081182253673141,0.0008303102816812952,25.0,0.00011276531002132383
wiener,sixsource,cycle,fair,truncH,1.0,3,300,500,0.00023029915953912228,1.2099444005762166e-17,6.29584416666865e-05,-9887.772040521617,False,385,,,,,
gamma,sixsource,cycle,fair,truncH,1.0,3,300,500,,,,-23733.997919419286,False,385,0.14496044746059328,1.106633390358382,0.0008633736619683309,25.0,0.00011309529737222996
wiener,sixsource,cycle,fair,truncH,1.0,4,300,500,0.00023181567245216474,7.518904463083605e-17,7.960221267389729e-05,-9228.972770224611,False,385,,,,,
gamma,sixsource,cycle,fair,truncH,1.0,4,300,500,,,,-23430.829399471244,False,385,0.14658589211369302,1.108060177583365,0.0008804477774784357,25.0,0.0001164749221496906
wiener,sixsource,cycle,fair,truncH,1.0,0,300,800,0.00021385118640854716,6.419925699614654e-18,4.885384054141054e-05,-15325.65107632473,False,384,,,,,
gamma,sixsource,cycle,fair,truncH,1.0,0,300,800,,,,-33370.04736976407,True,384,0.10821626833053473,1.2982612772492066,0.001751136430864888,25.0,0.00014596557195895938
wiener,sixsource,cycle,fair,truncH,1.0,1,300,800,0.00021333258649517062,1.6217603598360806e-16,5.4700644438432944e-05,-14875.131853999323,True,385,,,,,
gamma,sixsource,cycle,fair,truncH,1.0,1,300,800,,,,-33496.50824318982,True,385,0.10825768221320574,1.2795182137329921,0.0017016191552626913,25.0,0.00014397086636296479
wiener,sixsource,cycle,fair,truncH,1.0,2,300,800,0.0002112981731215518,3.076273775689649e-17,5.94951870922117e-05,-14536.361196227677,False,385,,,,,
gamma,sixsource,cycle,fair,truncH,1.0,2,300,800,,,,-33431.12794904542,True,385,0.10712130359660028,1.2294063565556226,0.0016331405141020335,25.0,0.0001422996878893368
wiener,sixsource,cycle,fair,truncH,1.0,3,300,800,0.00021387076966302684,1.1090930369709777e-16,4.430124072963385e-05,-15723.17793138289,True,385,,,,,
gamma,sixsource,cycle,fair,truncH,1.0,3,300,800,,,,-33729.236620206895,True,385,0.10809425226782426,1.2488470651297798,0.0016294428722862476,25.0,0.0001410368121212777
wiener,sixsource,cycle,fair,truncH,1.0,4,300,800,0.00021419611980748722,2.102721051938856e-17,5.59224686960528e-05,-14784.674973118023,False,385,,,,,
gamma,sixsource,cycle,fair,truncH,1.0,4,300,800,,,,-33337.253328672654,False,385,0.10975092496141275,1.2775504606674235,0.0017024646843303843,25.0,0.00014625416339467782
wiener,sixsource,cycle,fair,truncH,1.0,0,300,1000,0.00020601345389080922,4.119140895147897e-18,4.8702926694141774e-05,-17579.120475969656,True,384,,,,,
gamma,sixsource,cycle,fair,truncH,1.0,0,300,1000,,,,-37530.29144103564,True,384,0.08887176610884037,1.4781762016248847,0.0028075257066599315,25.0,0.00016879568732913213
wiener,sixsource,cycle,fair,truncH,1.0,1,300,1000,0.00020542436629472657,6.022771184101627e-18,5.382052563002948e-05,-17123.881514573743,False,385,,,,,
gamma,sixsource,cycle,fair,truncH,1.0,1,300,1000,,,,-37763.87755575487,True,385,0.09028095411864807,1.4361303109230268,0.0026271797924788936,25.0,0.000165155137038911
wiener,sixsource,cycle,fair,truncH,1.0,2,300,1000,0.00020335352946909262,4.0955599323623216e-17,5.7982718176472185e-05,-16778.568347661643,False,385,,,,,
gamma,sixsource,cycle,fair,truncH,1.0,2,300,1000,,,,-37710.27408640635,True,385,0.08992651866287797,1.3767263077510665,0.0025083792965981564,25.0,0.00016384506953861258
wiener,sixsource,cycle,fair,truncH,1.0,3,300,1000,0.00020842235441560607,2.0143064328512232e-17,4.180916567706342e-05,-18284.928815214596,True,385,,,,,
gamma,sixsource,cycle,fair,truncH,1.0,3,300,1000,,,,-38068.435667657825,True,385,0.09039723690579528,1.3946114684490798,0.002489345220234618,25.0,0.00016135671812889167
wiener,sixsource,cycle,fair,truncH,1.0,4,300,1000,0.0002092443198812943,2.714415174734591e-18,5.198870062883239e-05,-17280.87081459999,False,385,,,,,
gamma,sixsource,cycle,fair,truncH,1.0,4,300,1000,,,,-37661.86338430199,True,385,0.09218999703000533,1.422726354913631,0.002575825434110984,25.0,0.00016690865274293702
wiener,sixsource,normalised,fair,truncH,1.0,0,150,500,0.14999229770327646,0.0005737323105473977,0.015968238795699786,-32233.817762845127,False,384,,,,,
gamma,sixsource,normalised,fair,truncH,1.0,0,150,500,,,,-51788.68288664323,True,384,72.00793790800626,2.6124970115895048,0.005802798690591072,0.03172588832487308,0.15994183570396261
wiener,sixsource,normalised,fair,truncH,1.0,1,150,500,0.14358274163127865,5.09706034994135e-06,0.017478041069671456,-31490.855744799446,False,385,,,,,
gamma,sixsource,normalised,fair,truncH,1.0,1,150,500,,,,-51713.352508785276,True,385,69.15998426789513,2.6003394204648687,0.005872764598466016,0.03172588832487311,0.15619511208515652
wiener,sixsource,normalised,fair,truncH,1.0,2,150,500,0.1442550865084225,2.0546551212688634e-12,0.018600279556854084,-31152.66179932675,True,385,,,,,
gamma,sixsource,normalised,fair,truncH,1.0,2,150,500,,,,-52338.56371114864,True,385,71.04741417348278,2.381554320025254,0.005267637370612101,0.03172588832487311,0.15714611707098297
wiener,sixsource,normalised,fair,truncH,1.0,3,150,500,0.15194933566755459,0.0010912085518542734,0.013237554816080074,-33347.38912197932,True,385,,,,,
gamma,sixsource,normalised,fair,truncH,1.0,3,150,500,,,,-52427.35415132642,True,385,71.27649183442321,2.3376223658493065,0.005003369047697141,0.03172588832487311,0.15255782896448405
wiener,sixsource,normalised,fair,truncH,1.0,4,150,500,0.14906422831346527,0.00027331026816124687,0.016199764542570105,-32129.496471151204,True,385,,,,,
gamma,sixsource,normalised,fair,truncH,1.0,4,150,500,,,,-51608.448518464764,False,385,73.12905207521707,2.402954360018493,0.0051899589447405095,0.03172588832487308,0.1579458953749111
wiener,sixsource,normalised,fair,truncH,1.0,0,150,800,0.14999229770327646,0.0005737323105473977,0.015968238795699786,-32233.817762845127,False,384,,,,,
gamma,sixsource,normalised,fair,truncH,1.0,0,150,800,,,,-51788.68288664323,True,384,72.00793790800626,2.6124970115895048,0.005802798690591072,0.03172588832487308,0.15994183570396261
wiener,sixsource,normalised,fair,truncH,1.0,1,150,800,0.14358274163127865,5.09706034994135e-06,0.017478041069671456,-31490.855744799446,False,385,,,,,
gamma,sixsource,normalised,fair,truncH,1.0,1,150,800,,,,-51713.352508785276,True,385,69.15998426789513,2.6003394204648687,0.005872764598466016,0.03172588832487311,0.15619511208515652
wiener,sixsource,normalised,fair,truncH,1.0,2,150,800,0.1442550865084225,2.0546551212688634e-12,0.018600279556854084,-31152.66179932675,True,385,,,,,
gamma,sixsource,normalised,fair,truncH,1.0,2,150,800,,,,-52338.56371114864,True,385,71.04741417348278,2.381554320025254,0.005267637370612101,0.03172588832487311,0.15714611707098297
wiener,sixsource,normalised,fair,truncH,1.0,3,150,800,0.15194933566755459,0.0010912085518542734,0.013237554816080074,-33347.38912197932,True,385,,,,,
gamma,sixsource,normalised,fair,truncH,1.0,3,150,800,,,,-52427.35415132642,True,385,71.27649183442321,2.3376223658493065,0.005003369047697141,0.03172588832487311,0.15255782896448405
wiener,sixsource,normalised,fair,truncH,1.0,4,150,800,0.14906422831346527,0.00027331026816124687,0.016199764542570105,-32129.496471151204,True,385,,,,,
gamma,sixsource,normalised,fair,truncH,1.0,4,150,800,,,,-51608.448518464764,False,385,73.12905207521707,2.402954360018493,0.0051899589447405095,0.03172588832487308,0.1579458953749111
wiener,sixsource,normalised,fair,truncH,1.0,0,150,1000,0.14999229770327646,0.0005737323105473977,0.015968238795699786,-32233.817762845127,False,384,,,,,
gamma,sixsource,normalised,fair,truncH,1.0,0,150,1000,,,,-51788.68288664323,True,384,72.00793790800626,2.6124970115895048,0.005802798690591072,0.03172588832487308,0.15994183570396261
wiener,sixsource,normalised,fair,truncH,1.0,1,150,1000,0.14358274163127865,5.09706034994135e-06,0.017478041069671456,-31490.855744799446,False,385,,,,,
gamma,sixsource,normalised,fair,truncH,1.0,1,150,1000,,,,-51713.352508785276,True,385,69.15998426789513,2.6003394204648687,0.005872764598466016,0.03172588832487311,0.15619511208515652
wiener,sixsource,normalised,fair,truncH,1.0,2,150,1000,0.1442550865084225,2.0546551212688634e-12,0.018600279556854084,-31152.66179932675,True,385,,,,,
gamma,sixsource,normalised,fair,truncH,1.0,2,150,1000,,,,-52338.56371114864,True,385,71.04741417348278,2.381554320025254,0.005267637370612101,0.03172588832487311,0.15714611707098297
wiener,sixsource,normalised,fair,truncH,1.0,3,150,1000,0.15194933566755459,0.0010912085518542734,0.013237554816080074,-33347.38912197932,True,385,,,,,
gamma,sixsource,normalised,fair,truncH,1.0,3,150,1000,,,,-52427.35415132642,True,385,71.27649183442321,2.3376223658493065,0.005003369047697141,0.03172588832487311,0.15255782896448405
wiener,sixsource,normalised,fair,truncH,1.0,4,150,1000,0.14906422831346527,0.00027331026816124687,0.016199764542570105,-32129.496471151204,True,385,,,,,
gamma,sixsource,normalised,fair,truncH,1.0,4,150,1000,,,,-51608.448518464764,False,385,73.12905207521707,2.402954360018493,0.0051899589447405095,0.03172588832487308,0.1579458953749111
wiener,sixsource,normalised,fair,truncH,1.0,0,200,500,0.14999229770327646,0.0005737323105473977,0.015968238795699786,-32233.817762845127,False,384,,,,,
gamma,sixsource,normalised,fair,truncH,1.0,0,200,500,,,,-51788.68288664323,True,384,72.00793790800626,2.6124970115895048,0.005802798690591072,0.03172588832487308,0.15994183570396261
wiener,sixsource,normalised,fair,truncH,1.0,1,200,500,0.14358274163127865,5.09706034994135e-06,0.017478041069671456,-31490.855744799446,False,385,,,,,
gamma,sixsource,normalised,fair,truncH,1.0,1,200,500,,,,-51713.352508785276,True,385,69.15998426789513,2.6003394204648687,0.005872764598466016,0.03172588832487311,0.15619511208515652
wiener,sixsource,normalised,fair,truncH,1.0,2,200,500,0.1442550865084225,2.0546551212688634e-12,0.018600279556854084,-31152.66179932675,True,385,,,,,
gamma,sixsource,normalised,fair,truncH,1.0,2,200,500,,,,-52338.56371114864,True,385,71.04741417348278,2.381554320025254,0.005267637370612101,0.03172588832487311,0.15714611707098297
wiener,sixsource,normalised,fair,truncH,1.0,3,200,500,0.15194933566755459,0.0010912085518542734,0.013237554816080074,-33347.38912197932,True,385,,,,,
gamma,sixsource,normalised,fair,truncH,1.0,3,200,500,,,,-52427.35415132642,True,385,71.27649183442321,2.3376223658493065,0.005003369047697141,0.03172588832487311,0.15255782896448405
wiener,sixsource,normalised,fair,truncH,1.0,4,200,500,0.14906422831346527,0.00027331026816124687,0.016199764542570105,-32129.496471151204,True,385,,,,,
gamma,sixsource,normalised,fair,truncH,1.0,4,200,500,,,,-51608.448518464764,False,385,73.12905207521707,2.402954360018493,0.0051899589447405095,0.03172588832487308,0.1579458953749111
wiener,sixsource,normalised,fair,truncH,1.0,0,200,800,0.14999229770327646,0.0005737323105473977,0.015968238795699786,-32233.817762845127,False,384,,,,,
gamma,sixsource,normalised,fair,truncH,1.0,0,200,800,,,,-51788.68288664323,True,384,72.00793790800626,2.6124970115895048,0.005802798690591072,0.03172588832487308,0.15994183570396261
wiener,sixsource,normalised,fair,truncH,1.0,1,200,800,0.14358274163127865,5.09706034994135e-06,0.017478041069671456,-31490.855744799446,False,385,,,,,
gamma,sixsource,normalised,fair,truncH,1.0,1,200,800,,,,-51713.352508785276,True,385,69.15998426789513,2.6003394204648687,0.005872764598466016,0.03172588832487311,0.15619511208515652
wiener,sixsource,normalised,fair,truncH,1.0,2,200,800,0.1442550865084225,2.0546551212688634e-12,0.018600279556854084,-31152.66179932675,True,385,,,,,
gamma,sixsource,normalised,fair,truncH,1.0,2,200,800,,,,-52338.56371114864,True,385,71.04741417348278,2.381554320025254,0.005267637370612101,0.03172588832487311,0.15714611707098297
wiener,sixsource,normalised,fair,truncH,1.0,3,200,800,0.15194933566755459,0.0010912085518542734,0.013237554816080074,-33347.38912197932,True,385,,,,,
gamma,sixsource,normalised,fair,truncH,1.0,3,200,800,,,,-52427.35415132642,True,385,71.27649183442321,2.3376223658493065,0.005003369047697141,0.03172588832487311,0.15255782896448405
wiener,sixsource,normalised,fair,truncH,1.0,4,200,800,0.14906422831346527,0.00027331026816124687,0.016199764542570105,-32129.496471151204,True,385,,,,,
gamma,sixsource,normalised,fair,truncH,1.0,4,200,800,,,,-51608.448518464764,False,385,73.12905207521707,2.402954360018493,0.0051899589447405095,0.03172588832487308,0.1579458953749111
wiener,sixsource,normalised,fair,truncH,1.0,0,200,1000,0.14999229770327646,0.0005737323105473977,0.015968238795699786,-32233.817762845127,False,384,,,,,
gamma,sixsource,normalised,fair,truncH,1.0,0,200,1000,,,,-51788.68288664323,True,384,72.00793790800626,2.6124970115895048,0.005802798690591072,0.03172588832487308,0.15994183570396261
wiener,sixsource,normalised,fair,truncH,1.0,1,200,1000,0.14358274163127865,5.09706034994135e-06,0.017478041069671456,-31490.855744799446,False,385,,,,,
gamma,sixsource,normalised,fair,truncH,1.0,1,200,1000,,,,-51713.352508785276,True,385,69.15998426789513,2.6003394204648687,0.005872764598466016,0.03172588832487311,0.15619511208515652
wiener,sixsource,normalised,fair,truncH,1.0,2,200,1000,0.1442550865084225,2.0546551212688634e-12,0.018600279556854084,-31152.66179932675,True,385,,,,,
gamma,sixsource,normalised,fair,truncH,1.0,2,200,1000,,,,-52338.56371114864,True,385,71.04741417348278,2.381554320025254,0.005267637370612101,0.03172588832487311,0.15714611707098297
wiener,sixsource,normalised,fair,truncH,1.0,3,200,1000,0.15194933566755459,0.0010912085518542734,0.013237554816080074,-33347.38912197932,True,385,,,,,
gamma,sixsource,normalised,fair,truncH,1.0,3,200,1000,,,,-52427.35415132642,True,385,71.27649183442321,2.3376223658493065,0.005003369047697141,0.03172588832487311,0.15255782896448405
wiener,sixsource,normalised,fair,truncH,1.0,4,200,1000,0.14906422831346527,0.00027331026816124687,0.016199764542570105,-32129.496471151204,True,385,,,,,
gamma,sixsource,normalised,fair,truncH,1.0,4,200,1000,,,,-51608.448518464764,False,385,73.12905207521707,2.402954360018493,0.0051899589447405095,0.03172588832487308,0.1579458953749111
wiener,sixsource,normalised,fair,truncH,1.0,0,300,500,0.14999229770327646,0.0005737323105473977,0.015968238795699786,-32233.817762845127,False,384,,,,,
gamma,sixsource,normalised,fair,truncH,1.0,0,300,500,,,,-51788.68288664323,True,384,72.00793790800626,2.6124970115895048,0.005802798690591072,0.03172588832487308,0.15994183570396261
