law,n,prev,sd_eta,b0,reps,seed,m_eta,folds,n_eff_mean,n_eff_median,n_eff_sd,n_eff_min,n_eff_max,S,one_class_share,same_penalty_CD,same_penalty_CDind,ml_nonconvergence_share,LL_A,LLse_A,BR_A,BRse_A,sdb_A,fix_share_A,LL_B,LLse_B,BR_B,BRse_B,sdb_B,fix_share_B,LL_C,LLse_C,BR_C,BRse_C,sdb_C,fix_share_C,LL_D,LLse_D,BR_D,BRse_D,sdb_D,fix_share_D,LL_Dind,LLse_Dind,BR_Dind,BRse_Dind,sdb_Dind,fix_share_Dind,LL_E,LLse_E,BR_E,BRse_E,sdb_E,fix_share_E,rep_beats_A_B,rep_beats_A_C,rep_beats_A_D,rep_beats_A_E,LL_D_minus_C,LL_D_minus_C_se,LL_Dind_minus_C,LL_Dind_minus_C_se,LL_oracle
project,25,0.05,0.5,0.7,500,"[20260825, 0]",-4.311952668984809,3,0.038773140400855,0.03828132388602735,0.010464918731929423,0.009226121002546083,0.07548591142810643,0.003489582636076951,0.292,1.0,1.0,0.82,0.3473956891042351,0.009887106282878491,0.049308554619769955,0.00012541583936762137,0.0,1.0,0.3567934857538339,0.009619318751406989,0.049622323366350134,0.00012102586413815983,1.4221901788327498,0.0,0.3473956891042351,0.009887106282878491,0.049308554619769955,0.00012541583936762137,0.0,1.0,0.3473956891042351,0.009887106282878491,0.049308554619769955,0.00012541583936762137,0.0,1.0,0.3473956891042351,0.009887106282878491,0.049308554619769955,0.00012541583936762137,0.0,1.0,0.34740155545358037,0.00988694791221203,0.04930137605062623,0.00012459482252456035,0.08628175662175083,0.972,0.194,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.3473956891042351
project,25,0.05,0.5,1.0,500,"[20260825, 1]",-3.061543533844686,3,0.1349659767643791,0.13454002218836983,0.03426911365604813,0.05343353274477839,0.24545295250665267,0.0,0.264,1.0,0.994,0.728,0.33291682459329425,0.009619838146551476,0.04931014755585728,0.00017727639594119736,0.0,1.0,0.3336078759851177,0.00960610822677204,0.049199734886885615,0.00018838872482827647,1.5532163155625396,0.0,0.33291745689537117,0.009619824374972582,0.04931050544090137,0.00017729399300189257,0.0035495369774384573,0.998,0.33291745689537117,0.009619824374972582,0.04931050544090137,0.00017729399300189257,0.0035495369774384573,0.998,0.3330509671214102,0.009617673437857162,0.049342567986001055,0.0001815426622318178,0.04810114243187883,0.996,0.33296178772161483,0.009619011504439015,0.049315471983426104,0.00017806535475841024,0.08349613397501746,0.984,0.254,0.0,0.0,0.002,0.0,0.0,0.00013351022603899315,0.00012554842149042615,0.33291682459329425
project,25,0.05,0.5,1.25,500,"[20260825, 2]",-2.483918386274661,3,0.23377487929883176,0.2339189845214336,0.060026261581803644,0.07910307186352719,0.4089428699659436,0.014610929956176985,0.31,1.0,0.996,0.644,0.3538756325487999,0.010121394028662674,0.04906337162642706,0.00011117488434278625,0.0,1.0,0.3568461836396349,0.010030539496809127,0.049228600530737,0.00011405448438242271,1.7738335191274568,0.0,0.353832868674205,0.010122622579830137,0.04905653799239687,0.00011114453502127738,0.02420592203364068,0.996,0.353832868674205,0.010122622579830137,0.04905653799239687,0.00011114453502127738,0.02420592203364068,0.996,0.3538756325487999,0.010121394028662674,0.04906337162642706,0.00011117488434278625,0.0,1.0,0.3539659607961328,0.010119103741911972,0.04907503728191221,0.00011219975438557376,0.14653258489504586,0.972,0.172,0.004,0.004,0.01,0.0,0.0,4.2763874594950956e-05,4.212210509014871e-05,0.3538756325487999
project,25,0.05,0.5,1.5,500,"[20260825, 3]",-2.102520055507088,3,0.33368187566234586,0.3260845534265562,0.09021907996820128,0.09540636743173889,0.7098093685831172,0.08342046891558647,0.262,0.998,0.988,0.508,0.3305229586832557,0.009628520704635548,0.04911569135097122,0.00014100111593079556,0.0,1.0,0.33647478273718184,0.00947047782680496,0.049844539196326025,0.0001646482048288579,1.9348628978335478,0.0,0.33054046279156146,0.00962812776715067,0.049130525579746905,0.00014182425564095486,0.20072014506148794,0.99,0.330540661168899,0.009628123242253539,0.04913049802406799,0.0001418231281283744,0.20072082908788216,0.992,0.3305207751323325,0.009628570939620348,0.04911592496109514,0.00014101060187350409,0.012940080433821007,0.998,0.33065319523644604,0.009625132783478723,0.04912369592454006,0.0001408422931129127,0.1419092004352948,0.952,0.168,0.004,0.002,0.0,1.9837733755162513e-07,1.9837733755162508e-07,-1.968765922894944e-05,1.394561002469465e-05,0.3305229586832557
project,25,0.05,0.5,2.0,500,"[20260825, 4]",-1.6324268561004902,3,0.5256591535314219,0.5272527297406724,0.14359550102650748,0.18118035156122678,1.099890162808651,0.5256591535314219,0.252,0.986,0.976,0.466,0.324438821661606,0.009542099825760864,0.04900510560811579,0.00015743967060812065,0.0,1.0,0.33410763047168246,0.009465827710332907,0.050376640123636976,0.00030991513586285755,2.4909092221428573,0.0,0.3245401500515132,0.009539892545470845,0.04905746567407954,0.00016086503017476156,0.3777553923094094,0.98,0.3244154729423335,0.009542617959720029,0.04900625430249826,0.00015750122318784304,0.15352463412292264,0.994,0.3244754652896062,0.009541381797752648,0.04902911269546084,0.00015962924947715738,0.18955835569702428,0.996,0.3256980984099051,0.009550572067228445,0.049183213940939,0.0001986153345029746,0.3484723651681883,0.942,0.174,0.01,0.006,0.006,-0.00012467710917968383,8.107962012710192e-05,-6.468476190697636e-05,8.734874240260112e-05,0.324438821661606
project,25,0.05,1.0,0.7,500,"[20260825, 5]",-4.476604898044034,3,0.08319249158477832,0.08336388679651166,0.01657555536922487,0.04187798980819715,0.12556971083725285,0.007487324242630051,0.282,1.0,0.99,0.726,0.34132611654073036,0.009825335400837278,0.049596112128763095,0.0001723436928213733,0.0,1.0,0.35117037824302977,0.009583486996331181,0.049783384351640377,0.00017090742489132133,1.4257153809658072,0.0,0.34136718527997495,0.009824356873795754,0.04959260305958975,0.00017231164764129386,0.03385632929584866,0.994,0.34136718527997495,0.009824356873795754,0.04959260305958975,0.00017231164764129386,0.03385632929584866,0.994,0.34139411161560934,0.00982369968514366,0.049605080186921724,0.00017257469886241398,0.06942937087039679,0.992,0.3430903650553696,0.009805499262512948,0.04973136360171259,0.00017904423564388288,0.31924548852472556,0.89,0.192,0.004,0.004,0.046,0.0,0.0,2.6926335634461175e-05,2.9551794565504167e-05,0.34132611654073036
project,25,0.05,1.0,1.0,500,"[20260825, 6]",-3.2648537122009804,3,0.2656809622969097,0.2673917078354756,0.05191456922739918,0.11601863554112786,0.4253925297744369,0.0,0.28,1.0,0.986,0.56,0.33662027735292654,0.009906801421750362,0.04911539347892707,0.00016928252559972125,0.0,1.0,0.339244012487331,0.009835747715335257,0.04892674975173269,0.00017249569485807025,1.5949657594246578,0.0,0.3367032253459777,0.009904731924424093,0.049130306864470064,0.00016998204732260363,0.07749637454972189,0.99,0.3367032253459777,0.009904731924424093,0.049130306864470064,0.00016998204732260363,0.07749637454972189,0.99,0.3366800098870925,0.009905535878760193,0.04913538727154412,0.0001717833515460921,0.06029574759811636,0.994,0.3369952688717209,0.009896848073346837,0.049110807164344336,0.00016290857576151346,0.1978708908559841,0.916,0.184,0.0,0.0,0.018,0.0,0.0,-2.321545888515203e-05,6.137630892854495e-05,0.33662027735292654
project,25,0.05,1.0,1.25,500,"[20260825, 7]",-2.7117669384803307,3,0.46720565299336875,0.46158371628049444,0.09134230708416652,0.22803624035081968,0.7884633717318145,0.029200353312085547,0.264,0.998,0.982,0.438,0.3266172155369538,0.00977913997086074,0.04879233155828153,0.00013896459466721146,0.0,1.0,0.33371256285393847,0.009657103088158536,0.04933129300489794,0.00018311762746295847,1.6793691967609947,0.0,0.3266646675917953,0.009778083498808439,0.04880276094919241,0.0001395917863747925,0.10458252796101897,0.992,0.32664796210379216,0.009778519196089741,0.04879867105806809,0.00013958790578806688,0.04923825795929788,0.994,0.3267842658518007,0.009775372155274856,0.04884965015005332,0.0001432440476052518,0.2324661367938932,0.986,0.3273462437055622,0.009771175513055372,0.04885648330071012,0.00014784688860333093,0.17472175196784354,0.954,0.124,0.0,0.0,0.002,-1.670548800314986e-05,1.670548800314986e-05,0.00011959826000531004,8.146951099187546e-05,0.3266172155369538
project,25,0.05,1.0,1.5,500,"[20260825, 8]",-2.349989241166856,3,0.6734326436265919,0.6818674442638002,0.13545647147674003,0.2778604657107393,1.02449570496593,0.16835816090664799,0.246,0.986,0.982,0.402,0.3171683722668358,0.009571147986355976,0.04879315278931344,0.00013816547224911567,0.0,1.0,0.32520807977508537,0.009383124645895947,0.04996610749923537,0.00024071084805941394,1.8755483050845974,0.0,0.3171932876211525,0.009570482707450555,0.04881712292951038,0.0001403516881091394,0.3775016016636084,0.986,0.317147265086621,0.009571596035729157,0.048815008581254246,0.00014270020189892705,0.19239058113819274,0.992,0.31726636645332745,0.009569445235056116,0.048849456971194714,0.00014710242849828563,0.18700834287781493,0.994,0.3177646100459199,0.009558446305299558,0.04894150271910578,0.00015648472335955086,0.25575335811425787,0.926,0.162,0.006,0.002,0.008,-4.602253453146527e-05,0.00010385205777132345,7.30788321749562e-05,0.000161214408743415,0.3171683722668358
project,25,0.05,1.0,2.0,500,"[20260825, 9]",-1.9090928648345549,3,1.0098928541962544,1.0007765922754275,0.19782288958649671,0.506830247025881,1.571035620694001,1.0098928541962544,0.254,0.982,0.976,0.404,0.3199226287583322,0.00971338024180979,0.04878860445125963,0.00018113394136914061,0.0,1.0,0.33593183116625414,0.009606887126554223,0.05132071954185771,0.00047260112516253974,3.702836742150264,0.0,0.32018694525998165,0.009711252614892835,0.0489340103267758,0.0002364664017987883,0.7300966406883665,0.98,0.3199141153874623,0.0097135447385204,0.04881104804192118,0.00018504232405879736,0.12716623341053093,0.994,0.31999531704664247,0.009711735788504247,0.04886352821326372,0.00019157559654267754,0.2567198018241375,0.992,0.3236243872539484,0.009768790892943496,0.049488005426239864,0.0003299236256375662,1.7179470445911311,0.9,0.198,0.006,0.004,0.016,-0.00027282987251939087,0.00015221182495092118,-0.0001916282133391688,0.0001637181520611062,0.3199226287583322
